Title,sitelink,description,logo,categories,sub-category,tags,weight,recommend,Content
ChatGPT Prompt,https://gpt-pt.limingdao.com/,Maximize your efficiency and productivity. 让生产力加倍的 ChatGPT 快捷指令，按照领域和功能分区，可对提示词进行标签筛选、关键词搜索和一键复制。,,AI导航,,chatgpt-prompt,10,2,Maximize your efficiency and productivity. 让生产力加倍的 ChatGPT 快捷指令，按照领域和功能分区，可对提示词进行标签筛选、关键词搜索和一键复制。
蚁穴 Web3,https://antcave.club/,"蚁穴 Web3，积极分享Web3优秀资源、文章、工具、教程，探索区块链项目、NFT、DAO、元宇宙项目,共同发现财富密码，欢迎您的体验!",,,,web3,10,2,"<div class=""col-12 col-md-4 mb-4 mb-md-0"">
<div class=""text-sm"">蚁穴 Web3，积极分享Web3优秀资源、文章、工具、教程，探索区块链项目、NFT、DAO、元宇宙项目,共同发现财富密码，欢迎您的体验!</div>
</div>
<div class=""col-12 col-md-5 mb-4 mb-md-0""></div>"
Gamma,https://gamma.app/spsvjo9umqdbl3q/join?code=cnmt272ug4m70d8,Gamma是一个强大的人工智能生成器，可以在几秒钟内创建演示文稿、文档或网页,,AI导航,,gamma,10,2,Gamma是一个强大的人工智能生成器，可以在几秒钟内创建演示文稿、文档或网页。用户可以在不到一分钟的时间内自定义和打磨自己的作品，重点在于工具的可定制性和速度。Gamma能在一步完成整个排版过程，并且不需要使用模板，同时还可以实现在线分享和执行数据分析。Gamma是一个方便快捷的工具，可以让不擅长设计的人节省大量时间和成本，提高效率和专注力。
ChatGPT Next Web,https://chat.limingdao.com/,ChatGPT Next Web是一个创建个人ChatAI的在线平台，允许用户为自己的Chat Bot添加答案、回复、问答，,,AI导航,,chatgpt-next-web,10,2,ChatGPT Next Web是一个创建个人Chat Bot的在线平台，允许用户为自己的Chat Bot添加答案、回复、问答，以便在其实现属于他们自己的目标时使用。用户可以为Chat Bot编写自定义脚本和交互式对话，并将其整合到自己的网站中。整个过程都很简单，只需要填写一些简单的表格和遵循几个简单的指导方针。
智造喵,https://chat.plexpt.com/,智造喵是一款用AI技术实现的中文智能对话平台，用户可以免费在线体验，无需登录或注册,,AI导航,,zhizaomiao,10,2,智造喵是一款用AI技术实现的中文智能对话平台，用户可以免费在线体验，无需登录或注册。该平台使用OPENAI技术，提供多种在线对话服务。用户可以通过与智造喵对话来进行语义理解和自然语言处理的学习和体验。
Flash GPT,https://www.deflash.ai/,Your personal Flash GPT Bot.,,AI导航,,flash-gpt,10,2,"<span class=""webkit-html-attribute-value"">Your personal Flash GPT Bot.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 168px; top: 68px;"">
<div class=""gtx-trans-icon""></div>
</div>"
Learning Prompt,https://learning-pt.limingdao.com/,免费的 Prompt Engineering 教程 现已包含 ChatGPT 和 Midjourney 教程,,AI导航,,learning-prompt,10,2,"<section class=""glarity--summary"">
<div class=""glarity--card"">
<div class=""glarity--card__content"">
<div class=""glarity--container"">
<div class=""glarity--chatgpt"">
<div id=""gpt-answer"" class=""markdown-body gpt-markdown"" dir=""auto"">

本教程介绍如何更好使用ChatGPT和Midjourney，不是prompt大全，而是教授方法和有效解释。该教程的作者是初学者，自行为自己写出这篇免费的PE教程，因为大多数教程都是英文的，而阅读起来会有点吃力。

</div>
</div>
</div>
</div>
</div>
</section>
<div id=""__docusaurus"">
<div role=""region"" aria-label=""跳到主要内容""></div>
</div>"
AI研习社,https://zl49so8lbq.feishu.cn/wiki/wikcnu3kSXr75E50w8PFefhJMYf,AI研习社是一个致力于推动AI行业发展的专题知识兴趣小组,,AI导航,,ai-3,10,2,AI研习社是一个致力于推动AI行业发展的专题知识兴趣小组。该组织分享包括AI工具使用、AI新闻、AI商业模式研究、AI大厂动态、AI研究报告、AI经验分享等内容，旨在帮助关注AI领域的朋友构建动态的专题知识库，提升行业知识的流转效率。其使命包括推动信息高效流转、推动信息开源共享以及让小白能通过AI工具提高工作效率，提升AI工具普及度。对于积极拥抱AI的朋友而言，加入AI研习社是一个很好的选择。
GPT学习宝典,https://gpt.candobear.com/,宝典也提出了一个“GPT增强学习宣言”，强调AI技术应该辅助人类而非替代人类。尽管本法则是理想状态，但GPT学习宝典的存在旨在实现这一目标。,,AI导航,,gpt,10,2,该宝典旨在提供对AI技术的深入了解和实际应用。每周都有最新的技术和工具发布，并提供学习资料，跳出贫乏的学习模式，建立个人知识树。此外，宝典也提出了一个“GPT增强学习宣言”，强调AI技术应该辅助人类而非替代人类。尽管本法则是理想状态，但GPT学习宝典的存在旨在实现这一目标。
Consensus,https://consensus.app/,Consensus是一个搜索引擎，使用人工智能从科学研究中直接提取和梳理结果，只搜索经过同行评审的已发表的来源，并展示来自科学家而非营销团队的结果。,,AI导航,,consensus,10,2,Consensus是一个搜索引擎，使用人工智能从科学研究中直接提取和梳理结果，只搜索经过同行评审的已发表的来源，并展示来自科学家而非营销团队的结果。通过Consensus能更快、更精准地获取科学研究结果，可用于学术研究和决策方面，如“死刑是否能减少犯罪”等问题。
Opus Clip 短视频创作,https://www.opus.pro/,Opus Clip 是一种生成式 AI 视频工具，只需单击一下即可将长视频重新调整为短片。OpenAI支持,,AI导航,AI视频生成,opus-clip,10,2,"<h1 class=""a_nlp_heading-style-display"">1 个长视频，
10 个病毒剪辑。
创建速度提高 10 倍。</h1>
<div class=""a_nlp_header-p-max-width"">
<div class=""a_nlp_header-p-wrapper"">
<p class=""a_text-size-small a_text-color-grey a_display-inline a_line-height-1-5"">Opus Clip 是一种生成式 AI 视频工具，只需单击一下即可将长视频重新调整为短片。OpenAI支持</p>

<div class=""a_nlp_open-ai-logo-wrapper"">
<div class=""a_nlp_open-ai-logo-height"">
<div class=""a_nlp_open-ai-logo w-embed""></div>
</div>
</div>
</div>
<div class=""a_header_form-block w-form""><form id=""wf-form-Shorts-Header-Get-Clips"" class=""a_header_form"" method=""get"" name=""wf-form-Shorts-Header-Get-Clips"" data-name=""Shorts Header Get Clips"" aria-label=""短裤标题获取剪辑"">
<div class=""a_header_input-wrapper"">
<div class=""a_form-input-wrapper""></div>
</div>
</form></div>
</div>
<div id=""gtx-trans"" style=""position: absolute; left: 968px; top: 170.469px;"">
<div class=""gtx-trans-icon""></div>
</div>"
AI创客社区,https://lablab.ai/,在 lablab，我们致力于建立一个由创造 AI Native 未来的制造商和创新者组成的社区。,,AI导航,,ai-4,10,2,"<h1 class="" mt-10 text-4xl font-extrabold text-white sm:text-5xl md:text-6xl lg:text-5xl xl:text-7xl"">赋能人工智能创新</h1>
<p class=""mx-auto mt-3 max-w-3xl font-light text-white sm:text-xl lg:mt-5 lg:text-2xl""><span class=""opacity-100"">创客社区，使用<span class=""font-bold"">最先进的</span>现代<span class=""font-bold"">人工智能</span>进行建设。立即加入黑客马拉松活动！</span></p>

<h2 class=""text-slate-900 mt-4 font-bold md:mt-0 text-3xl lg:text-5xl"">即将到来的 AI 黑客马拉松</h2>
<div class=""lg:max-w-7 mx-auto mt-4 max-w-3xl"">
<p class=""text-gray-600 lg:text-xl text-gray-400 font-base"">无论您是人工智能/科技行业的专业人士，还是只是对改变游戏规则的人工智能技术充满热情，我们的黑客马拉松都欢迎您。在 lablab，我们致力于建立一个由创造 AI Native 未来的制造商和创新者组成的社区。</p>

</div>
<div id=""gtx-trans"" style=""position: absolute; left: 1054px; top: 244.875px;"">
<div class=""gtx-trans-icon""></div>
</div>"
songr.ai,https://app.songr.ai/,借助 AI 的力量创作您自己的完全定制的歌曲 ,,AI导航,AI音频创作,songr-ai,10,2,"<div class=""wp-block-column is-layout-flow"">
<figure class=""wp-block-image aligncenter size-full""><img class=""wp-image-2361 jetpack-lazy-image jetpack-lazy-image--handled"" src=""https://1984a.com/wp-content/uploads/2023/05/Create-your-own-fully-customized-songs-with-just-3-clicks.jpg"" sizes=""(max-width: 500px) 100vw, 500px"" srcset=""https://1984a.com/wp-content/uploads/2023/05/Create-your-own-fully-customized-songs-with-just-3-clicks.jpg 500w, https://1984a.com/wp-content/uploads/2023/05/Create-your-own-fully-customized-songs-with-just-3-clicks.jpg 300w"" alt=""只需单击 3 次即可创建您自己的完全定制的歌曲！"" width=""500"" height=""246"" data-recalc-dims=""1"" data-lazy-loaded=""1"" /><figcaption class=""wp-element-caption"" spellcheck=""false"" data-lt-tmp-id=""lt-796938"" data-gramm=""false""></figcaption></figure>
</div>
<div class=""wp-block-column is-layout-flow"">

SongR AI 是一个帮助人们轻松创作自己的歌曲的网站，无需任何音乐经验。只需点击三下，用户就可以创建完全自定义的歌曲，并与朋友和家人分享。该网站使用 AI 从几个关键词生成自定义歌词，并根据选择的流派添加人声和伴奏。用户可以用独特的内容吸引听众，用个性化的歌曲招待朋友和家人，甚至可以为特殊场合送出独特的歌曲礼物。SongR 的使命是为所有人实现歌曲和音乐创作的民主化。该网站由 RIFFIT 提供支持

</div>"
人工智能工具竞技场,https://aitoolsarena.com/,通过 AI Tools Arena 保持领先地位——您获得 AI 工具和见解的终极资源,,AI导航,,rengongzhinenggongjujingjichang,10,2,"人工智能工具竞技场
<h4 class=""wp-block-heading has-text-align-center"">通过 AI Tools Arena 保持领先地位——您获得 AI 工具和见解的终极资源</h4>
<div class=""asl_w_container asl_w_container_1"">
<div id=""ajaxsearchlite1"" class=""asl_w asl_m asl_m_1 asl_m_1_1"" data-id=""1"" data-instance=""1"">
<div class=""probox"">
<div class=""innericon""></div>
<div class=""prosettings"" data-opened=""0"">
<div class=""innericon""></div>
</div>
<div class=""proinput""></div>
</div>
</div>
</div>"
Copilot Hub,https://app.copilothub.ai/home,Copilot Hub 是一个基于大模型技术的 AI 原生平台。 在这里，您可以使用自己的数据训练模型并将其集成到您的项目中。 快来获取您自己的 ChatGPT 助手吧！,,AI导航,,copilot-hub,10,2,"<span class=""webkit-html-attribute-value"">Copilot Hub is an AI-native platform based on large model technique. Here you can train models with your own data and integrate it into your projects. Come get your own ChatGPT assistant!</span>

Copilot Hub 是一个基于大模型技术的 AI 原生平台。 在这里，您可以使用自己的数据训练模型并将其集成到您的项目中。 快来获取您自己的 ChatGPT 助手吧！"
heypi,https://heypi.com/talk,AI学习工具,,AI导航,,heypi,10,2,"https://heypi.com/talk

AI学习工具"
讯飞星火,https://xinghuo.xfyun.cn/desk,科大讯飞推出的新一代认知智能大模型，拥有跨领域的知识和语言理解能力，能够基于自然对话方式理解与执行任务。从海量数据和大规模知识中持续进化，实现从提出、规划到解决问题的全流程闭环。,,AI导航,,xunfeixinghuo,10,2,"<div class=""function_title"">
<div class=""function_title_name"">讯飞星火认知大模型</div>
</div>
<div class=""function_titleTip"">科大讯飞推出的新一代认知智能大模型，拥有跨领域的知识和语言理解能力，能够基于自然对话方式理解与执行任务。从海量数据和大规模知识中持续进化，实现从提出、规划到解决问题的全流程闭环。</div>"
LLaVA：大型语言和视觉助手,https://llava.hliu.cc/,LLaVA：大型语言和视觉助手,,AI导航,,llava,10,2,"<h4 class=""subtitle has-text-centered"">LLaVA 代表了一种新颖的端到端训练的大型多模态模型，它结合了视觉编码器和 Vicuna 以实现通用视觉和语言理解，实现了模仿多模态 GPT-4 精神的令人印象深刻的聊天功能，并设定了新的状态-科学质量检查的艺术准确性。</h4>"
志文工作室,https://lzw.me/x/chatgpt-sites/,国内可用的 ChatGPT 在线体验免费网站列表导航。定时任务每日更新！,,,,zhiwengongzuoshi,10,2,国内可用的 ChatGPT 在线体验免费网站列表导航。定时任务每日更新！
FLOWGPT,https://flowgpt.com/,Prompt集合导航你的人工智能的入口,,AI导航,,flowgpt,10,2,Prompt集合导航你的人工智能的入口
新闻极简主义,https://www.newsminimalist.com/,它使用 AI (ChatGPT-4) 每天阅读前 1000 条新闻，并根据事件的严重性、规模、潜力和来源可信度，按重要性从 0 到 10 对它们进行排名。,,AI导航,AI领域实用,xinwenjijianzhuyi,10,2,"你好！我叫瓦迪姆。

大多数新闻网站的问题是我不能只阅读重要新闻：一篇关于病毒爆发的文章之后是一些名人八卦或其他智能手机发布。

但即使是在关注重要事件的网站上，每天都会发布文章，而且总是有“头条新闻”——即使是在没有发生任何重要事件的日子。

我被迫做出选择：浪费时间浏览不重要的更新，或者忽略新闻而错过重要事件。

<hr />

所以我构建了一个我认为可以解决这个问题的网络应用程序。

它使用 AI (ChatGPT-4) 每天阅读前 1000 条新闻，并根据事件的严重性、规模、潜力和来源可信度，按重要性从 0 到 10 对它们进行排名。

<a href=""https://www.newsminimalist.com/"">结果发布在newsminimalist.com</a>的主页上

我还运行一份时事通讯，其中发布了所有重要性超过 6.5 的新闻摘要。平均每天大约有 3 条新闻，但有时是 5 条，有时是 1 条，有时——根本没有。在那种情况下，我只是发送一封电子邮件，说那天没有发生任何重要的事情。"
潘多拉,https://chat-shared.zhile.io/,"潘多拉，一个让你呼吸顺畅的ChatGPT。Pandora, a ChatGPT that helps you breathe smoothly.",,AI导航,,panduola,10,2,"潘多拉，一个让你呼吸顺畅的ChatGPT。Pandora, a ChatGPT that helps you breathe smoothly.

&nbsp;

https://chat-shared.zhile.io/shared.html?__cf_chl_tk=RO9i6OskbOeJwKq.5pibaLVreaMl__8seb2NfWinwlU-1683165976-0-gaNycGzNC1A"
Chatbene,https://chatbene.com/,"Chatbene, ChatGPT, GPT-3, GPT-4, GPT-5, 生成式模型，人工智能，人工智能产品，最新产品，Prompt, Prompts, AI 提示词，AI 产品",,AI导航,,chatbene,10,2,"<span class=""webkit-html-attribute-value"">Chatbene - 发现 AI 新应用，精选 Prompt 内容库，ChatGPT 免费客户端</span>

<span class=""webkit-html-attribute-value"">Chatbene, ChatGPT, GPT-3, GPT-4, GPT-5, 生成式模型，人工智能，人工智能产品，最新产品，Prompt, Prompts, AI 提示词，AI 产品</span>""
<div id=""gtx-trans"" style=""position: absolute; left: 347px; top: 70px;"">
<div class=""gtx-trans-icon""></div>
</div>"
哆啦猫fxopenai,https://fxopenai.com/,"哆啦猫小铺:购买属于自己的ChatGPT账号和API key ,特价直登chatgpt账号9.9,chatgpt plus最低价格49,新上架18美金apikey账号14.9 全网价格最低,售后最快",,AI导航,,fxopenai,10,2,"<div class=""grid-container"" data-v-59900eb6="""">
<div class=""vs-alert alert vs-alert--gradient"" data-v-59900eb6="""">
<div class=""vs-alert__content"">
<div class=""vs-alert__content__text"">
<div data-v-59900eb6="""">
<h3 data-v-59900eb6="""">啦猫小铺:购买属于自己的ChatGPT账号和API key ,特价直登chatgpt账号9.9,chatgpt plus最低价格49,新上架18美金apikey账号14.9 全网价格最低,售后最快</h3>
</div>
</div>
</div>
</div>
</div>
<div class=""grid-container"" data-v-59900eb6="""">
<div class=""vs-button__content""><i class=""bx bxs-bell-ring"" data-v-59900eb6=""""></i>进入小铺</div>
</div>
<h1 class=""title"" data-v-59900eb6="""">哆啦猫分享</h1>
<h1 data-v-59900eb6="""">chatgpt x openaikey 免费分享</h1>
<h1 class=""date"" data-v-59900eb6="""">每天分享比10个更多的免费key和赠送10个chatGPT账号</h1>
<p data-v-59900eb6="""">?哆啦猫全网价格最低: <a href=""https://shop.fxopenai.win/"" target=""_blank"" rel=""noopener"" data-v-59900eb6="""">?哆啦猫小铺 </a>?点击直达访问</p>

<div id=""gtx-trans"" style=""position: absolute; left: 293px; top: 208.406px;"">
<div class=""gtx-trans-icon""></div>
</div>"
DO GPT,https://www.dogpt.ai/,自动化的GPT助手，点击试用，无需API。,,AI导航,,do-gpt,10,2,"<div id=""title"" class=""relative flex flex-col items-center font-mono"">
<div class=""mt-1 text-center font-mono text-[0.9em] text-[#0024A0] font-bold"">

自动化的GPT助手，点击试用，无需API。

</div>
</div>
<div class=""flex w-full flex-row"">
<div class=""border-translucent flex w-full flex-col rounded-2xl border-2 border-white/20 bg-white text-black shadow-2xl drop-shadow-lg mt-4 chat-window-shadow"">
<div class=""flex items-center gap-1 rounded-t-3xl p-3"">
<div></div>
</div>
</div>
</div>"
HeyGen,https://www.heygen.com/,使用 AI将引人入胜的视频制作速度提高 10 倍,,AI导航,AI视频生成,heygen,10,2,"<h1 class=""home-big-title"" data-w-id=""2c566534-2fda-c1b2-1141-3e50b4fbf004"">使用 AI将<span class=""blue-span"">引人入胜的</span>视频制作速度<span class=""blue-span"">提高 10 倍</span></h1>
<div class=""text-block-60"">认识 HeyGen - 适合您团队的最佳 AI 视频生成平台。</div>"
AI Playground  vercel,https://play.vercel.ai/,比较、调整和使用最新的 AI 语言模型。,,AI导航,,ai-playground-vercel,10,2,"Compare, tune, and play with the latest AI language models.

比较、调整和使用最新的 AI 语言模型。"
Open Assistant 开源AI模型,https://open-assistant.io/zh,Open Assistant  面向所有人的对话式人工智能.,,AI导航,,open-assistant-ai,10,2,"<h1 class=""chakra-text text-5xl mb-6 font-bold tracking-tight css-0"">Open Assistant开源项目</h1>
<h2 class=""chakra-text bg-gradient-to-r from-blue-600 via-sky-400 to-blue-700 font-bold mt-8 text-3xl inline bg-clip-text font-display tracking-tight text-transparent css-0"">面向所有人的对话式 AI</h2>
<p class=""chakra-text mt-6 text-lg text-gray-600 css-0"">我们相信我们即将创造一场革命</p>
<p class=""chakra-text mt-6 text-lg text-gray-600 css-0"">正如 Stable Diffusion 改变了现代艺术的创作过程, 我们将透过对话式 AI 来改变世界.</p>"
LMSYS 组织,https://lmsys.org/,Large Model Systems Organization 开发开放、可访问和可扩展的大型模型和系统。,,AI导航,,lmsys,10,2,"<div class=""flex justify-center"">
<h1 class=""text-8xl md:text-8xl font-bold"">LMSYS 组织</h1>
</div>
<p class=""text-lg py-4 max-w-lg flex m-auto"">Large Model Systems Organization 开发开放、可访问和可扩展的大型模型和系统。</p>

<div id=""gtx-trans"" style=""position: absolute; left: 721px; top: 164.875px;"">
<div class=""gtx-trans-icon""></div>
</div>"
Free ChatGPT Site List,https://cc.ai55.cc/,Free ChatGPT Site List 这儿为你准备了众多免费好用的ChatGPT镜像站点，当前100+站点,,AI导航,,free-chatgpt-site-list,10,2,"<p dir=""auto""><strong>这儿为你准备了众多免费好用的ChatGPT镜像站点</strong></p>
<p dir=""auto"">Free ChatGPT Site List 这儿为你准备了众多免费好用的ChatGPT镜像站点，当前100+站点</p>"
